Node Count,Requested Duration,Actual Duration
32,7200,6677
32,7200,5440
32,7200,6110
2,7200,7209
32,7200,5365
32,7200,6672
32,7200,5255
32,7200,750
27,3600,824
2048,1500,1065
27,1800,1804
300,5400,1521
184,21600,897
184,21600,795
184,21600,6835
184,21600,634
2,7200,217
120,10800,4171
120,10800,3526
2048,1500,625
27,1800,379
2048,1500,852
2,1920,183
92,14400,3545
120,10800,2714
120,10800,6881
60,7200,7216
3,7200,7115
32,7200,6793
32,7200,7209
18,7200,7228
18,7200,7215
18,7200,7203
18,7200,7206
18,7200,7228
18,7200,7215
18,7200,7211
190,7200,2054
20,7200,7213
128,7200,4807
97,7200,4712
27,1800,305
17,3600,2143
27,1800,1804
2048,1500,1522
4,900,201
8,7200,66
173,7200,250
2,7200,7202
8,7200,5417
4,900,50
4,900,196
173,7200,263
27,3600,119
3,7200,5861
2,900,20
2,7200,4619
2,900,101
4,900,198
4,900,51
2,7200,7213
173,7200,288
27,3600,989
32,3600,1534
4,900,195
4,900,49
173,7200,693
27,1800,468
4,900,226
4,900,226
4,900,6
4,900,6
4,900,8
4,900,6
92,14400,3368
4,900,8
4,900,7
8,7200,7224
4,900,11
4,900,4
2048,1500,1097
27,1800,58
4,900,13
4,900,6
4,900,5
4,900,9
4,900,9
4,900,25
4,7200,7227
2,7200,7227
27,1800,655
4,900,9
2048,1500,115
4,900,8
4,900,5
3,600,13
2,7200,83
2,7200,7208
27,1800,835
4,900,8
4,900,4
27,7200,5084
2,7200,32
2,7200,2117
4,900,9
4,900,5
144,7200,43
8,7200,2294
2,7200,78
20,7200,7219
101,2400,27
7,1800,237
26,1800,438
7,1800,645
7,1800,302
100,7200,7213
26,1800,322
26,1800,1819
40,7200,3813
40,7200,4116
40,7200,1227
40,7200,3869
40,7200,961
40,7200,1515
20,7200,7217
144,7200,44
4,7200,7213
2,7200,7206
4,900,11
144,7200,9
27,7200,119
4,900,9
4,900,6
2,7200,1312
4,900,9
4,900,11
101,1800,479
101,1800,0
101,1800,616
3,7200,6891
7,1800,288
26,1800,283
101,900,598
100,720,0
64,780,760
3,600,16
101,900,814
3,600,14
3,600,13
3,600,14
3,600,14
3,600,14
3,600,13
3,7200,839
4,900,9
3,600,13
3,600,16
4,900,67
4,900,11
2,1800,22
2,1800,1120
3,600,134
3,600,85
4,900,19
4,900,24
3,600,13
4,1800,19
4,900,11
4000,43200,43200
4000,43200,33008
1500,43200,38767
2136,43200,43225
2136,43200,42730
2048,43200,62
512,28800,24176
350,43200,43227
347,43200,43204
160,21600,21431
198,43200,43216
395,43200,43212
1794,23400,23415
60,6300,5646
60,6300,4645
60,6300,4688
60,6300,4645
60,6300,4906
384,25200,25223
100,14400,6196
100,14400,14411
2,7200,7212
2,7200,7205
2,7200,7206
2,7200,7201
32,7200,5207
32,7200,5301
32,7200,4795
32,7200,63
32,7200,5201
18,7200,7201
184,21600,7732
184,21600,18532
184,21600,5401
184,21600,474
184,21600,9857
184,21600,2303
184,21600,1162
184,21600,739
184,21600,760
184,21600,627
184,21600,1088
184,21600,1731
183,21600,3365
184,21600,1539
184,21600,1399
184,21600,1921
184,21600,8288
184,21600,11221
184,21600,1863
184,21600,1750
184,21600,1886
184,21600,10451
184,21600,967
184,21600,2100
184,21600,1955
184,21600,787
184,21600,2128
184,21600,2347
184,21600,2055
320,43200,5244
128,21600,21603
18,7200,7230
18,7200,7227
18,7200,7206
18,7200,7220
18,7200,7229
18,7200,7203
18,7200,7205
18,7200,7201
18,7200,7206
18,7200,7220
18,7200,7201
18,7200,7219
18,7200,7201
18,7200,7205
144,21600,3446
105,21600,21611
512,21600,251
388,21600,249
200,43200,369
300,5400,1973
448,7200,5013
210,7200,619
160,7200,243
160,7200,243
40,7200,1240
40,7200,1581
40,7200,1769
40,7200,7223
40,7200,1817
40,7200,1321
40,7200,1656
40,7200,1364
40,7200,1592
40,7200,1205
